iter	MultiClass
135	0.8199271274
136	0.8191262781
137	0.8182960599
138	0.8175210112
139	0.8166884208
140	0.8159414012
141	0.8150956106
142	0.8142780696
143	0.8134823647
144	0.8126626941
145	0.8119313492
146	0.8113339951
147	0.8106886138
148	0.8101868236
149	0.8093752161
150	0.8088084502
151	0.8081248568
152	0.8074000786
153	0.8067082134
154	0.8060657431
155	0.8052519919
156	0.8045971455
157	0.8041307947
158	0.8035338972
159	0.8028605599
160	0.802049654
161	0.8014200985
162	0.8006801477
163	0.800003343
164	0.7993903372
165	0.7986402452
166	0.7978825658
167	0.7973420963
168	0.7968287461
169	0.7962002018
170	0.7955161589
171	0.7948889941
172	0.7943762545
173	0.7938634917
174	0.7934662691
175	0.7927119424
176	0.7922269178
177	0.7917339508
178	0.7911824567
179	0.7907597585
180	0.7903084587
181	0.7897245236
182	0.7892830498
183	0.7887024101
184	0.7882023129
185	0.7876818552
186	0.7871359858
187	0.7864195078
188	0.7859426748
189	0.7854176404
190	0.785007508
191	0.7845128688
192	0.7841922516
193	0.783659822
194	0.7830633111
195	0.7826912466
196	0.7821383462
197	0.7817746164
198	0.781256597
199	0.7807380864
200	0.7803042839
201	0.7798869165
202	0.7794214738
203	0.7789020297
204	0.7784051981
205	0.7779657266
206	0.7776061534
207	0.7771016447
208	0.776600742
209	0.7760828868
210	0.7756007902
211	0.7749252019
212	0.7746449108
213	0.7740541554
214	0.7736939327
215	0.7733407519
216	0.7729228215
217	0.7725646362
218	0.7722647801
219	0.7717080061
220	0.7713726005
221	0.7709926615
222	0.7704564882
223	0.7699956415
224	0.7696091627
225	0.7691929569
226	0.7686976923
227	0.7683685403
228	0.7680049997
229	0.76757832
230	0.767205739
231	0.7667374619
232	0.7663892497
233	0.766073121
234	0.7656244524
235	0.7652021648
236	0.7647562257
237	0.7643792294
238	0.7639360254
239	0.7636147942
240	0.76327342
241	0.7630417482
242	0.7625712345
243	0.7620929954
244	0.7617752193
245	0.7613378303
246	0.7608975546
247	0.760524146
248	0.7601751281
249	0.7598131155
250	0.7595031623
251	0.7592123276
252	0.7588367405
253	0.7584535486
254	0.7581011787
255	0.7576971484
256	0.7574577751
257	0.7571223437
258	0.7567498998
259	0.7563654742
260	0.7562102891
261	0.7557149922
262	0.7553704998
263	0.7552278704
264	0.7548951536
265	0.754522282
266	0.754082452
267	0.7538238868
268	0.7534223039
269	0.753081816
270	0.7526609895
271	0.7523223187
272	0.7521335829
273	0.7518705088
274	0.7516358134
275	0.7513716495
276	0.7510390056
277	0.7507422929
278	0.7503937755
279	0.749982839
280	0.7497050603
281	0.7494744485
282	0.7491816389
283	0.7487980271
284	0.7485869051
285	0.7483290719
286	0.748041787
287	0.7477666206
288	0.7475769774
289	0.7472961595
290	0.746922419
291	0.7466064011
292	0.7463542125
293	0.7461326643
294	0.7458441941
295	0.7455260442
296	0.7453301788
297	0.7449217059
298	0.7445820207
299	0.7443017483
300	0.7439124599
301	0.7436079833
302	0.7433109764
303	0.7429387981
304	0.7426538749
305	0.7423518329
306	0.7421320617
307	0.741794037
308	0.7416344682
309	0.7414087701
310	0.7411396359
311	0.7408383464
312	0.7404841058
313	0.7402458222
314	0.7399329804
315	0.7397427756
316	0.7395503973
317	0.7392762147
318	0.7390609527
319	0.7387994949
320	0.7383406284
321	0.7380812586
322	0.7378250203
323	0.7376008708
324	0.7372906606
325	0.7370252253
326	0.736705098
327	0.7365185047
328	0.7361402948
329	0.7358484967
330	0.7355416183
331	0.7352157118
332	0.7349485788
333	0.7346573858
334	0.7344603279
335	0.7340624972
336	0.7337812648
337	0.7335711964
338	0.7332204683
339	0.7329131151
340	0.7327227845
341	0.7324457741
342	0.7321722944
343	0.7318413777
344	0.7316032708
345	0.7313760317
346	0.7309972514
347	0.7307754725
348	0.7304871993
349	0.730155603
350	0.729906653
351	0.7296646846
352	0.729358398
353	0.7291005578
354	0.7288448631
355	0.7286242751
356	0.7283122723
357	0.7281005374
358	0.727958035
359	0.7277085176
360	0.7274147208
361	0.7272981807
362	0.7271249082
363	0.7268673121
364	0.7265839209
365	0.7264591162
366	0.7261748935
367	0.7259352877
368	0.7257171849
369	0.7254816815
370	0.725227979
371	0.7249510402
372	0.7247606597
373	0.7245762865
374	0.7243296403
375	0.7242228698
376	0.7239253984
377	0.723752767
378	0.7234040108
379	0.7231729987
380	0.7231088372
381	0.7229278287
382	0.7227062074
383	0.7224012622
384	0.7221903214
385	0.7219597755
386	0.7217839991
387	0.7214912213
388	0.7212258066
389	0.7209671583
390	0.7207760539
391	0.7204541687
392	0.7202558398
393	0.720000793
394	0.7197882466
395	0.7194559952
396	0.7191680227
397	0.7189310864
398	0.7187367046
399	0.7185843599
400	0.7183657207
401	0.7180705147
402	0.7177624672
403	0.717530557
404	0.7172477552
405	0.7169138692
406	0.716709723
407	0.7164472743
408	0.716102655
409	0.7158242038
410	0.7156234928
411	0.7152683951
412	0.7150897028
413	0.7149219474
414	0.7145642825
415	0.7144133806
416	0.7142218935
417	0.714067545
418	0.7137615906
419	0.7134412809
420	0.7132339636
421	0.7130218292
422	0.7129082176
423	0.7126488447
424	0.7124564862
425	0.7121834593
426	0.7118380811
427	0.7116028582
428	0.7113550745
429	0.7111665598
430	0.7108378622
431	0.7105729296
432	0.7103654133
433	0.7100659812
434	0.7098136501
435	0.709663516
436	0.7094662146
437	0.7091544608
438	0.7089284511
439	0.7086870382
440	0.7085898909
441	0.7083499129
442	0.7081311585
443	0.7078950178
444	0.7076607061
445	0.7075913079
446	0.7074259139
447	0.7072037076
448	0.7070397047
449	0.7068298877
450	0.7066483946
451	0.7063352811
452	0.706029347
453	0.7058843173
454	0.7056611712
455	0.7054050033
456	0.7051905096
457	0.7049776026
458	0.7048167645
459	0.7046029495
460	0.7044719223
461	0.7042857746
462	0.7040024313
463	0.7038959029
464	0.7036216205
465	0.7033079914
466	0.7032232553
467	0.7029329766
468	0.7025768889
469	0.7024042686
470	0.7021879676
471	0.7020020094
472	0.7016375657
473	0.7014373034
474	0.7010857434
475	0.7007998983
476	0.7006625627
477	0.7004550767
478	0.70035722
479	0.7001824642
480	0.6999661197
481	0.6996853855
482	0.6995895088
483	0.6993911047
484	0.6990591201
485	0.6989012382
486	0.6987233333
487	0.6984141914
488	0.6979965173
489	0.6978839118
490	0.6978187409
491	0.6974753935
492	0.6973168593
493	0.6969362831
494	0.6967455183
495	0.6966676233
496	0.6963623492
497	0.6960223755
498	0.695765142
499	0.6955938889
